complex,prediction,n,entrez
9-1-1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,19355; 15574; 19367
9-1-1-APE1 complex,LARGE PROTEIN COMPLEX,4,19355; 15574; 11792; 19367
9-1-1-FEN1 complex,LARGE PROTEIN COMPLEX,4,19355; 15574; 14156; 19367
9-1-1-LIG1 complex,LARGE PROTEIN COMPLEX,4,19355; 15574; 16881; 19367
9-1-1-POLB complex,LARGE PROTEIN COMPLEX,4,19355; 15574; 18970; 19367
9-1-1-RAD17-RFC complex,LARGE PROTEIN COMPLEX,8,19355; 15574; 19356; 106344; 19718; 72151; 69263; 19367
9b-1-1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,19355; 15574; 231724
9b-1b-1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,19355; 231724; 210554
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex,CYTOSOL,4,11632; 15519; 15516; 11622
Abca1-Apoa1-Snta1 complex,LYSOSOME|SECRETORY|UNKNOWN,3,11303; 11806; 20648
ABCB1-ANXA2-RACK1-SRC complex,PLASMA MEMBRANE,4,12306; 18671; 20779; 14694
ABCB1-PPP2R3C-TFPI2 complex,PLASMA MEMBRANE,3,18671; 21789; 59032
Abcg5-Abcg1 complex,SECRETORY,2,11307; 27409
Abcg5-Abcg2 complex,PLASMA MEMBRANE,2,26357; 27409
Abcg5-Abcg4 complex,UNCLASSIFIED,2,192663; 27409
ABCG5-ABCG8 complex,UNCLASSIFIED,2,67470; 27409
Abcg8-Abcg4 complex,UNCLASSIFIED,2,192663; 67470
ABI3-WAVE2-CYFIP1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,20430; 66610; 242687
ABIN2-NFKB1-MAP3K8 complex,CYTOSOL,3,18033; 26410; 231130
Abl1-Dok1-Nck1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,11350; 13448; 17973
ABRAXAS2-SHMT1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,20425; 109359
ABRAXAS2-SHMT2 complex,MITOCHONDRIA,2,108037; 109359
ACAP1-CHC-Glut4 complex,CYTOSOL|LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|SECRETORY|UNKNOWN,3,20528; 67300; 216859
Acinar cell-specific C complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,18514; 18609; 17536
ACT homodimer complex,NUCLEUS,1,57756
ACT-CREB complex,NUCLEUS,2,12912; 57756
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)",LARGE PROTEIN COMPLEX,3,20020; 98053; 51810
ACTN1-PARVB complex,ACTIN BINDING PROTEINS,2,109711; 170736
Actn4-Alms1 complex,ACTIN BINDING PROTEINS|UNKNOWN,2,60595; 236266
ActRIIA-ActRIB-Smad3-Arip1 complex,CYTOSOL|LYSOSOME|NUCLEUS|SECRETORY,4,11480; 11479; 17127; 50791
ADA-DPP4 complex,CYTOSOL,2,11486; 13482
ADAM22-LGI1 complex,SECRETORY,2,56839; 11496
ADIPOQ-PLOD3-GLT25D1 complex,ENDOPLASMIC RETICULUM,3,26433; 11450; 234407
ADRA1A-CXCR4 complex,PLASMA MEMBRANE|SECRETORY,2,11549; 12767
ADRB1-CXCR4 complex,PLASMA MEMBRANE|SECRETORY,2,11554; 12767
Adrb2 homodimer complex,UNCLASSIFIED,1,11555
ADRB2 homodimer complex,UNCLASSIFIED,1,11555
AFF4 super elongation complex (SEC),NUCLEUS,11,192657; 12455; 72949; 70122; 107951; 17355; 13716; 64144; 74427; 269344; 93736
Agap11-AP3 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,5,11778; 347722; 64933; 55946; 11774
AGO2-FXR1-TNF(alpha)ARE-RNP complex,LARGE PROTEIN COMPLEX,2,14359; 239528
AGPS-GNPAT complex,PEROXISOME,2,228061; 14712
Ags3-Lkb1-Gnai3 complex,PLASMA MEMBRANE,2,14679; 67839
AHI1-HAP1 complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,15114; 52906
AHI1-NPHP1 heterotetramer,CYTOSOL,2,53885; 52906
Ahnak1-dysferlin complex,UNKNOWN,2,26903; 66395
AIF-CYPA-DNA complex,MITOCHONDRIA,2,26926; 268373
"Aip1-Ire1-Traf2, ER stress induced complex",LARGE PROTEIN COMPLEX,3,22030; 69601; 26918
AIP4-DTX3L complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,209200; 16396
AJUBA-GFI1-HDAC1 complex,NUCLEUS,3,433759; 16475; 14581
AJUBA-GFI1-HDAC2 complex,NUCLEUS,3,15182; 16475; 14581
AJUBA-GFI1-HDAC3 complex,UNKNOWN,3,15183; 16475; 14581
AJUBA-PRMT5-SNAI1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,27374; 20613; 16475
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,LARGE PROTEIN COMPLEX,5,26397; 75547; 320795; 26416; 65964
AKAP5-PRKAR2A-PPP3CA complex,PLASMA MEMBRANE,3,19087; 238276; 19055
Akt-Arrb2-Ppp2ca-Ppp2r2a complex,LARGE PROTEIN COMPLEX,4,11651; 19052; 71978; 216869
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,7,98432; 230484; 11651; 244650; 67561; 211651; 208836
"AKT1-APPL1-HDAC3 complex, induced by IGF-1",CYTOSOL,3,15183; 11651; 72993
AKT1-FOXO1-WDFY2 complex,CYTOSOL,3,11651; 56458; 268752
AKT1-NQO2 complex,CYTOSOL,2,18105; 11651
Alb-Tgfbr2 complex,CYTOSOL|LYSOSOME|SECRETORY|UNKNOWN,2,11657; 21813
ALL-1 supercomplex,NUCLEUS,28,20220; 93762; 99982; 60406; 23942; 17192; 21374; 270627; 21343; 67155; 140858; 19384; 214162; 19646; 20587; 216848; 433759; 20624; 213464; 66464; 245688; 108143; 68094; 15182; 68188; 20588; 20466; 51786
Alpha-2-M enhanceosome DNA-protein complex,UNKNOWN,5,14815; 14281; 16476; 18986; 20848
Alpha-dystrobrevin-ZO-1-actin complex,ACTIN BINDING PROTEINS,3,11461; 21872; 13527
"Alpha-GDI-Hsp90 chaperone complex, ATP dependent",CYTOSOL,4,14567; 13002; 15481; 15519
"Alpha-GDI-Rab3a complex, cytosolic",CYTOSOL|LARGE PROTEIN COMPLEX,2,14567; 19339
AMFR-ERLIN2-TMUB1 complex,ENDOPLASMIC RETICULUM,3,244373; 64295; 23802
"AMFR-STING-INSIG1 complex, herpes simplex virus 1 induced",ENDOPLASMIC RETICULUM,3,231070; 72512; 23802
Amfr-Vcp-Ngly1 complex,UNKNOWN,3,269523; 59007; 23802
Amfr-Vcp-Ubxn1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,269523; 225896; 23802
Amfr-Vcp-Ubxn1-Ngly1-Rad23b complex,LARGE PROTEIN COMPLEX|UNKNOWN,5,19359; 269523; 225896; 59007; 23802
AML1-HIPK2-p300 complex,NUCLEUS,3,12394; 328572; 15258
AMOT130-Lats2 complex,UNKNOWN,2,27494; 50523
AMY-1-S-AKAP84-RII-beta complex,CYTOSOL|LARGE PROTEIN COMPLEX|MITOCHONDRIA|UNKNOWN,3,19088; 11640; 56309
Amyloid beta protein homo-oligomer complex,ENDOSOME,1,11820
Anaphase-promoting complex,LARGE PROTEIN COMPLEX,10,217232; 69957; 17222; 52563; 56317; 59008; 52206; 99152; 68999; 381580
ANCO1-HDAC3  complex,NUCLEUS,2,15183; 77087
Angiogenin-PRI complex,CYTOSOL,2,11727; 107702
ANGPTL4-LRP6-SDC1 complex,SECRETORY,3,16974; 20969; 57875
ANGPTL4-LRP6-SDC2 complex,SECRETORY,3,16974; 15529; 57875
ANGPTL4-LRP6-SDC4 complex,SECRETORY,3,16974; 20971; 57875
AnkG-PKP2-Cx43 complex,ACTIN BINDING PROTEINS|PLASMA MEMBRANE|UNKNOWN,3,67451; 11735; 14609
Anks3-Anks6 complex,UNKNOWN,2,75691; 72615
ANKS3-ANKS6 complex,UNKNOWN,2,75691; 72615
Anks3-Bicc1 complex,UNKNOWN,2,83675; 72615
Anks3-Hif1an complex,UNKNOWN,2,319594; 72615
Anks3-Nek8 complex,UNKNOWN,2,140859; 72615
Anks3-NPHP1 complex,UNKNOWN,2,53885; 72615
Anks6-Bicc1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,75691; 83675
ANKS6-NEK8-INVS-NPHP3 complex,CYTOSOL,4,75691; 74025; 140859; 16348
AnnexinVI-Fyn-Pyk2-RasGAP complex,PLASMA MEMBRANE,4,11749; 218397; 19229; 14360
anti-BHC110 complex,NUCLEUS,11,99982; 228913; 14886; 433759; 56364; 382034; 15182; 192285; 15353; 76007; 217864
Anti-HDAC2 complex,NUCLEUS,17,99982; 23942; 14886; 19646; 216848; 116870; 433759; 56364; 382034; 107932; 245688; 15182; 192285; 20466; 15353; 76007; 217864
AP1 adaptor complex,LARGE PROTEIN COMPLEX,8,11765; 11766; 108012; 11769; 11764; 252903; 11767; 11768
AP1B1-AP1G2-AP1M-1AP1S1 complex,LARGE PROTEIN COMPLEX,4,11766; 11769; 11764; 11767
Ap1g1-Ap2a2-Dcx complex,LARGE PROTEIN COMPLEX,3,13193; 11772; 11765
AP1G1-PACS1-FURIN complex,LARGE PROTEIN COMPLEX,3,11765; 18550; 107975
AP3 adaptor complex,CYTOSOL,7,11774; 11776; 64933; 11778; 11775; 11777; 55946
AP3-BLOC1 complex,CYTOSOL,15,11774; 11776; 20615; 64933; 11778; 14533; 11775; 232946; 73689; 17828; 11777; 94245; 117197; 18457; 55946
AP4 adaptor complex,CYTOSOL,4,11781; 108011; 11782; 67489
AP5 adaptor complex,UNKNOWN,4,231855; 381201; 74385; 69596
AP5-SPG11-SPG15 complex,UNKNOWN,6,231855; 381201; 211978; 214585; 74385; 69596
Apbb-App-Lrp2 complex,ENDOSOME,3,14725; 11820; 11785
APBB1-TSHZ3-HDAC1 complex,NUCLEUS,3,11785; 433759; 243931
APC-Asef complex,LARGE PROTEIN COMPLEX,2,226970; 11789
APC-Asef-beta-catenin complex,LARGE PROTEIN COMPLEX,3,226970; 11789; 12387
APC-AXIN1-CTNNB1 complex,LARGE PROTEIN COMPLEX,3,12005; 11789; 12387
APC-IQGAP1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,11789; 29875
APC-IQGAP1-CLIP-170 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,11789; 56430; 29875
APC-IQGAP1-Rac1 complex,PLASMA MEMBRANE|UNKNOWN,3,11789; 29875; 19353
Apg16L-Apg12-Apg5 complex,CYTOSOL|UNKNOWN,3,77040; 11793; 67526
Aph1a-Psen1-Ncstn complex,PLASMA MEMBRANE,3,19164; 226548; 59287
APLG1-Rababtin5 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,11765; 54189
ApoB mRNA editing enzyme complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,11810; 69865; 16549
"Apoptosis- and splicing-associated protein complex (ASAP-L), SAP18, RNPS1, Acinus-L",LARGE PROTEIN COMPLEX|NUCLEUS,3,20220; 19826; 56215
Apoptosome,MITOCHONDRIA,2,11783; 13063
Apoptosome-procaspase 9 complex,MITOCHONDRIA,3,11783; 12371; 13063
APP-Abeta42-VDAC1 complex,MITOCHONDRIA,2,11820; 22333
APP-APBB1-KAT5 complex,ENDOSOME,3,11785; 11820; 81601
APP-APBB1-LRP1 complex,ENDOSOME,3,11785; 11820; 16971
APP-PSEN1 complex,PLASMA MEMBRANE,2,11820; 19164
APP-PSEN2 complex,ENDOSOME,2,11820; 19165
APP-TIM23 complex,MITOCHONDRIA,2,53600; 11820
APP-TNFRSF21 complex,ENDOSOME|SECRETORY,2,94185; 11820
APP-TOM40 complex,MITOCHONDRIA,2,53333; 11820
APP(AICD)-FOXO1 complex,ENDOSOME,2,11820; 56458
APP(AICD)-FOXO3 complex,ENDOSOME|UNKNOWN,2,56484; 11820
APP(AICD)-FOXO4 complex,ENDOSOME,2,11820; 54601
APP(AICD)-MED12 complex,NUCLEUS,2,11820; 59024
APPBP1-UBA3 complex,CYTOSOL,2,234664; 22200
AQP1 homotetramer,UNCLASSIFIED,1,11826
"Aqp4-alpha-syntrophin complex, retinal Mueller cells",UNKNOWN,2,11829; 20648
"Aqp4-beta-dystroglycan complex, retinal Mueller cells",PLASMA MEMBRANE,2,11829; 13138
Aqp4-Slc1a2 complex,LYSOSOME|SECRETORY,2,20511; 11829
AR-AKT-APPL complex,CYTOSOL,3,11835; 11651; 72993
ARAF-PIK3R1 complex,CYTOSOL|UNKNOWN,2,11836; 18708
ARD1-NATH complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,81003; 74838
ARF-Mule complex,LARGE PROTEIN COMPLEX,3,18148; 59026; 12578
Arf1-Ap1g1-Ap1b1 complex,LARGE PROTEIN COMPLEX,3,11765; 11764; 11840
ARF1-ARL1-PKD2-ARFIP2 complex,GOLGI|SECRETORY,4,104303; 76932; 11840; 18764
Arf1-beta/delta-coat protein subcomplex,LARGE PROTEIN COMPLEX,3,11840; 213827; 70349
ARHGEF2-MAPK1-MAPK3-PXN complex,LARGE PROTEIN COMPLEX,4,26417; 26413; 19303; 16800
ARHGEF7-GIT2-PAK1 complex,LARGE PROTEIN COMPLEX,3,18479; 54126; 26431
ARL2-TBCD complex,CYTOSOL,2,56327; 108903
Arl6-Sec61b complex,ENDOPLASMIC RETICULUM,2,56297; 66212
Arnt-Ahrr complex,UNKNOWN,2,11863; 11624
ARNT-HIF1A complex,UNKNOWN,2,11863; 15251
ARNTL-EPAS1 complex,NUCLEUS,2,11865; 13819
ARNTL-HIF1A complex,UNCLASSIFIED,2,11865; 15251
ARNTL-NPAS2 complex,NUCLEUS,2,11865; 18143
Arp2/3 protein complex,LARGE PROTEIN COMPLEX,7,11867; 76709; 56378; 67771; 68089; 74117; 66713
ARP3-WHAMM complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,74117; 434204
"ARRB1-ARHGEF18-ENAH complex, induce by EDN-1",CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,109689; 102098; 13800
"Arrb1-Becn1-Pik3c3 complex, induced by (OGD) oxygen-glucose deprivation",CYTOSOL|ENDOSOME|UNKNOWN,3,56208; 225326; 109689
Arrb2-Akt-Ppp2ca complex,LARGE PROTEIN COMPLEX,3,11651; 19052; 216869
"Arrb2-Akt-Src complex, insulin induced",CYTOSOL|LARGE PROTEIN COMPLEX,3,20779; 11651; 216869
Artemis-DNA-PK complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,19090; 227525
ARTN-GFRA3-RET comples,SECRETORY,3,14587; 19713; 11876
ARXN1-CIC complex,NUCLEUS|UNKNOWN,2,20238; 71722
ASAH1-NR5A1 complex,LYSOSOME,2,26423; 11886
ASAH1-NR5A1-SAPD complex,LYSOSOME,3,19156; 26423; 11886
ASH2L-KDM6B-KDM6B-WDR5 complex,NUCLEUS,4,216850; 140858; 213464; 23808
"Ask1-Traf6 complex, LPS induced",CYTOSOL,2,26408; 22034
ASPP1-SAM68 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,20218; 21981
Astrin-kinastrin complex,LARGE PROTEIN COMPLEX,5,18817; 56455; 244495; 54141; 51944
ASXL1-HCFC1-OGT complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,108155; 15161; 228790
"ATAC complex, GCN5-linked",NUCLEUS,10,217031; 101206; 140858; 13486; 108946; 14534; 75565; 228714; 217588; 208146
ATF2-c-Jun complex,NUCLEUS|UNKNOWN,2,16476; 11909
Atf2-c-Jun-c-Myc complex,NUCLEUS,3,17869; 16476; 11909
ATF2-HK1-VDAC1 complex,MITOCHONDRIA,3,11909; 15275; 22333
ATF4-CREB1 complex,NUCLEUS,2,12912; 11911
ATL1 homo-oligomer complex,ENDOSOME|SECRETORY|UNKNOWN,1,73991
ATL2-SPG31 complex,ENDOPLASMIC RETICULUM,2,56298; 52250
ATL2-SPG33 complex,ENDOPLASMIC RETICULUM,2,319740; 56298
ATL3-SPG31 complex,ENDOPLASMIC RETICULUM,2,109168; 52250
ATL3-SPG33 complex,ENDOPLASMIC RETICULUM,2,319740; 109168
ATM homodimer complex,NUCLEUS,1,11920
ATM-NBN complex,NUCLEUS,2,27354; 11920
ATP4A-ATP4B complex,UNCLASSIFIED,2,11944; 11945
ATR-ATRIP complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,245000; 235610
ATR-HDAC2 complex,NUCLEUS,2,245000; 15182
ATR-HDAC2-CHD4 complex,NUCLEUS,3,245000; 107932; 15182
ATRX-DAXX complex,NUCLEUS,2,22589; 13163
Atxn1-Rora-Yap complex,UNKNOWN,3,22601; 19883; 20238
AUF1(p45)-ZFP36 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,22695; 11991
AUP1-OS9-SEL1L-UBC6e-UBXD8 complex,ENDOPLASMIC RETICULUM,5,216440; 76577; 20338; 56228; 11993
AURKA-HDAC6 cilia-disassembly complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,20878; 15185
AURKA-HRAS-RAF1 complex,UNKNOWN,3,20878; 15461; 110157
AURKA-INPP5E complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,20878; 64436
AURKB-VRK1 complex,NUCLEUS,2,20877; 22367
Axin-Apc-Catnb-Gsk3b-Macf1 complex,LARGE PROTEIN COMPLEX,5,11426; 12005; 56637; 11789; 12387
Axin-beta-catenin complex,PLASMA MEMBRANE,2,12005; 12387
Axin-Dvl-Gsk complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,12005; 13542; 56637
Axin-GSK-3-alpha complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,12005; 606496
Axin-GSK-3-beta complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,12005; 56637
Axin-GSK-3-beta-beta-catenin complex,LARGE PROTEIN COMPLEX,3,12005; 56637; 12387
Axin-Mekk4 complex,UNKNOWN,2,26407; 12005
AXIN-MEKK4-CCD1 complex,UNKNOWN,3,12005; 330938; 26407
Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex,LARGE PROTEIN COMPLEX,4,12005; 12387; 56637; 226849
Axin-SMAD3 complex,CYTOSOL|NUCLEUS|UNKNOWN,2,12005; 17127
AXIN1-APC-CTNNB1-GSK3B complex,LARGE PROTEIN COMPLEX,4,12005; 11789; 12387; 56637
Axin1-Ctnnb1-Lrp5 complex,PLASMA MEMBRANE,3,12005; 12387; 16973
Axin1-Dvl1-Gsk3b-Frat1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,4,12005; 13542; 14296; 56637
AXIN1-GID8-GSK3B complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,12005; 56637; 76425
Axin2-Ctnnb1-Apc complex,LARGE PROTEIN COMPLEX,3,12006; 12387; 11789
B-WICH complex,NUCLEUS,9,17913; 93762; 81898; 110052; 319955; 18432; 56200; 22385; 320277
B23-NPM3 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,18148; 18150
BACE1-UBB complex,SECRETORY,2,22187; 23821
BAD-BCL2xL complex,UNKNOWN,2,12015; 12048
Bad-Gk-Wave1-Pkaca-Ppp1cc complex,LARGE PROTEIN COMPLEX,5,18747; 103988; 19047; 12015; 83767
BAF complex,NUCLEUS,13,93760; 83766; 56456; 67155; 20586; 11461; 11465; 20587; 239985; 68094; 20588; 57376; 83797
BAFL-BAF complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,2,23825; 403171
BAFL-BAF-LAP2beta complex,NUCLEUS,3,23825; 21917; 403171
BAG1-HSC70 complex,LARGE PROTEIN COMPLEX,2,15481; 12017
BAG1-HSP70 complex,LARGE PROTEIN COMPLEX,2,193740; 12017
BAG6-AMFR-FAF2 complex,ENDOPLASMIC RETICULUM|LARGE PROTEIN COMPLEX,3,224727; 76577; 23802
Bag6-Ubl4A-Trc35 Complex,LARGE PROTEIN COMPLEX,3,100169864; 224727; 67604
BAR-BCL2-CASP8 complex,CYTOSOL|SECRETORY,3,12043; 12370; 67118
BARD1-BRCA1-CSTF complex,NUCLEUS,5,108062; 12189; 67337; 228410; 12021
BARD1-BRCA1-CSTF64 complex,NUCLEUS,3,108062; 12189; 12021
BARD1\u2013BRCA1\u2013RAD51 complex,NUCLEUS,3,12189; 19361; 12021
BASC complex (BRCA1-associated genome surveillance complex),NUCLEUS,12,27354; 106344; 19718; 19687; 12189; 17350; 17685; 17535; 17688; 12144; 11920; 19360
BAX homo-oligomer complex,MITOCHONDRIA,1,12028
BBS-chaperonin complex,LARGE PROTEIN COMPLEX,10,21454; 12465; 12462; 12469; 12464; 12461; 241950; 71492; 71769; 59030
BBS1-BBS4-BBS5-PKD1-TTC8 complex,UNKNOWN,5,18763; 72569; 52028; 76260; 102774
BBS4 centriolar satellite complex,LARGE PROTEIN COMPLEX,3,18536; 102774; 12009
BBSome,UNKNOWN,8,100503572; 319845; 71492; 72569; 52028; 76260; 102774; 67378
BBSome core complex,UNKNOWN,4,319845; 71492; 52028; 67378
BBSome linker complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,100503572; 76260; 102774
Bcar1-Crk-Ptk2-Rapgef1 complex,CYTOSOL,4,14083; 12927; 12928; 107746
BCDX2 complex,UNCLASSIFIED,4,19363; 114714; 57434; 19364
Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex,ENDOSOME,5,12043; 56208; 225326; 75669; 78610
"Bcl-xL-p53-PUMA complex, DNA damage induced",UNKNOWN,3,22059; 12048; 170770
BCL10 homo-oligomer complex,CYTOSOL|UNKNOWN,1,12042
BCL10-MALT1 complex,CYTOSOL|UNKNOWN,2,12042; 240354
Bcl2-Becn1 complex,CYTOSOL|ENDOSOME|UNKNOWN,2,56208; 12043
BCL2-CISD2 complex,ENDOPLASMIC RETICULUM,2,12043; 67006
Bcl2l1-Dnm1l complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,74006; 12048
BCL6-HDAC4 complex,CYTOSOL,2,12053; 208727
BCL6-HDAC5 complex,UNCLASSIFIED,2,12053; 15184
BCL6-HDAC7 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,12053; 56233
BCOR complex,NUCLEUS,8,15481; 21402; 19763; 71458; 56353; 30841; 19821; 69837
Beta-catenin-Cadherin-LAR complex,PLASMA MEMBRANE,3,19268; 12387; 12558
Beta-dystroglycan-caveolin-3 complex,PLASMA MEMBRANE,2,12391; 13138
beta(1)-AR receptosome (ADRB1-SAP97-AKAP79-PRKAR2A),PLASMA MEMBRANE,4,11554; 19087; 238276; 13383
Beta/delta-coat protein subcomplex,LARGE PROTEIN COMPLEX,2,213827; 70349
beta2AR-AKAP79/150  complex,PLASMA MEMBRANE,2,11555; 238276
BHC complex,NUCLEUS,6,99982; 433759; 15182; 192285; 15353; 217864
BICD2-dynein-dynactin complex,CYTOSOL|UNKNOWN,3,13426; 13191; 76895
BIM-BCL2 complex,UNCLASSIFIED,2,12125; 12043
BIM-BCL2xL complex,UNKNOWN,2,12125; 12048
Bin1-Dnm1-Ehbp1 complex,CYTOSOL|UNKNOWN,3,30948; 13429; 216565
BIN1-EHBP1-RAB8A complex,UNKNOWN,3,30948; 17274; 216565
Binary COG subcomplex,CYTOSOL|GOLGI|UNKNOWN,2,233824; 238123
BIRC5-AURKB-INCENP-EVI5 complex,NUCLEUS,4,11799; 14020; 20877; 16319
BKCA alpha-Cav1.2 channel complex,SECRETORY|UNKNOWN,2,12288; 16531
BKCA alpha-Cav2.1 channel complex,SECRETORY|UNKNOWN,2,12286; 16531
BKCA alpha-Cav2.2 channel complex,SECRETORY|UNKNOWN,2,12287; 16531
BKCa-AKAP79/150 complex,PLASMA MEMBRANE,2,238276; 16531
BKCA-beta2AR complex,SECRETORY|UNKNOWN,2,11555; 16531
BKCA-beta2AR-AKAP79 signaling complex,PLASMA MEMBRANE,3,11555; 238276; 16531
BLM complex II,LARGE PROTEIN COMPLEX,6,19891; 68275; 68240; 12144; 21975; 74386
BLM complex III,NUCLEUS,4,17350; 12144; 21975; 74386
BLM-RAD51L3-XRCC2 complex,NUCLEUS,3,57434; 19364; 12144
BLM-TOP3A complex,NUCLEUS,2,12144; 21975
BLM-TRF2 complex,NUCLEUS,3,12144; 237336; 21750
BLOC-1 (biogenesis of lysosome-related organelles complex 1),CYTOSOL|ENDOSOME|UNKNOWN,8,20615; 14533; 232946; 73689; 17828; 94245; 117197; 18457
BLOC-2 (biogenesis of lysosome-related organelles complex 2),CYTOSOL|ENDOSOME,3,20170; 12807; 246694
BLOC-3 (biogenesis of lysosome-related organelles complex 3),CYTOSOL,2,192236; 192232
BLOC1-BLOC2 complex,CYTOSOL|ENDOSOME,11,20615; 14533; 232946; 73689; 20170; 17828; 12807; 94245; 117197; 18457; 246694
